#EPIC,    ra,        dec,      Kp,   list
60018644, 354.15513, -2.21173, 12.199, classical
60018645, 354.155920833, -2.21243888889, 12.44, classical
60018647, 0.838333333333, 3.39783333333, 13.38, classical
60018649, 359.666595833, 0.964802777778, 13.469, classical
60018650, 356.29939, -5.20608, 13.636, classical
60018652, 354.993958333, 0.809416666667, 13.74, classical
60018653, 359.18015, 3.02211, 13.76, classical
60018655, 354.99402, 0.80946, 13.89, classical
60018656, 355.98041, -4.0509, 13.956, classical
60018657, 353.86522, -5.72794, 14.054, classical
60018660, 0.361291666667, 0.228972222222, 14.112, classical
60018662, 355.530583333, 0.547972222222, 14.216, classical
60018663, 355.36115, -5.54157, 14.221, classical
60018669, 351.6148, -2.97015, 14.49, classical
60018670, 357.5396125, 1.02409444444, 14.501, classical
60018673, 357.75112, 4.87943, 14.561, classical
60018676, 353.11519, -5.39302, 14.633, classical
60018678, 352.16375, 1.0285, 14.862, classical
60018679, 1.1001, -6.85657, 14.888, classical
60018681, 357.074675, 0.0220472222222, 14.921, classical
60018687, 357.07465, 0.02239, 15.072, classical
60018708, 356.483, -7.4726, 15.813, classical
60018709, 352.8671, -2.62876, 15.815, classical
60018722, 359.57559, -8.71836, 16.133, classical
60018732, 352.765875, 1.06080555556, 16.292, classical
60018737, 355.31566, -4.21736, 16.376, classical
60018742, 1.90229, -8.24558, 16.46, classical
60018743, 352.99328, -4.92403, 16.481, classical
60018750, 356.47678, -7.0536, 16.658, classical
60018752, 352.46439, 1.65528, 16.71, classical
60018755, 1.94723, 3.26733, 16.74, classical
60018763, 357.49761, 4.62398, 16.9, classical
60018771, 357.55888, 4.24208, 17.065, classical
60018772, 356.84112, 0.48452, 17.077, classical
60018773, 359.53266, 3.27389, 17.094, classical
60018778, 355.94061, 1.86808, 17.376, classical
60018779, 351.77498, -2.31793, 17.415, classical
60018780, 1.56091, -4.50438, 17.462, classical
60018797, 356.04994, 4.4046, 14.0, cool_star
60018798, 2.14803, 2.55688, 14.0, cool_star
60018800, 1.42409, 0.69179, 14.0, cool_star
60018802, 0.12083, 0.00052, 14.0, cool_star
60018810, 3.7617, -5.92642, 14.0, cool_star
60018811, 3.01362, -5.22536, 14.0, cool_star
60018813, 354.77309, -0.56859, 14.0, cool_star
60018821, 355.06387, -8.14364, 14.0, cool_star
60018824, 2.65961, -6.44204, 14.0, cool_star
60018825, 358.28372, -6.67937, 14.0, cool_star
60018835, 1.8556, 4.81293, 14.1, cool_star
60018855, 356.1743, 2.32679, 14.1, cool_star
60018857, 359.72871, 1.80404, 14.1, cool_star
60018858, 358.22307, 1.35623, 14.1, cool_star
60018864, 5.65665, -0.76805, 14.1, cool_star
60018865, 5.07457, -1.94707, 14.1, cool_star
60018866, 4.61565, -2.31041, 14.1, cool_star
60018867, 4.3654, -1.50719, 14.1, cool_star
60018872, 0.13594, -4.28004, 14.1, cool_star
60018873, 355.19325, -2.61138, 14.1, cool_star
60018875, 359.18104, -4.06515, 14.1, cool_star
60018881, 357.9683, -2.91286, 14.1, cool_star
60018882, 357.69164, -1.90049, 14.1, cool_star
60018883, 359.47752, -0.0591, 14.1, cool_star
60018899, 1.12646, -8.8307, 14.1, cool_star
60018900, 359.89668, -8.98239, 14.1, cool_star
60018903, 2.01595, -7.9331, 14.1, cool_star
60018905, 353.22391, -6.26302, 14.1, cool_star
60018908, 2.76971, -6.54523, 14.1, cool_star
60018909, 1.48323, -6.24929, 14.1, cool_star
60018910, 353.88062, -4.62239, 14.1, cool_star
60018911, 354.36123, -4.77293, 14.1, cool_star
60018912, 354.91273, -4.93789, 14.1, cool_star
60018913, 353.50754, -1.22269, 14.1, cool_star
60018944, 352.21419, 1.03158, 14.2, cool_star
60018945, 4.92451, 0.40365, 14.2, cool_star
60018947, 4.7714, 0.00579, 14.2, cool_star
60018949, 353.94235, 2.6646, 14.2, cool_star
60018950, 354.4262, 3.20664, 14.2, cool_star
60018952, 357.14915, 4.47023, 14.2, cool_star
60018953, 357.69504, 4.38716, 14.2, cool_star
60018956, 354.75828, 1.5498, 14.2, cool_star
60018958, 356.24003, 2.8363, 14.2, cool_star
60018959, 354.80096, 1.23432, 14.2, cool_star
60018961, 1.1206, 2.22606, 14.2, cool_star
60018962, 358.54177, 2.73507, 14.2, cool_star
60018965, 359.87926, 2.00162, 14.2, cool_star
60018966, 359.94108, 1.96225, 14.2, cool_star
60018967, 0.06104, 1.76442, 14.2, cool_star
60018968, 358.09733, 2.08547, 14.2, cool_star
60018969, 358.54737, 1.48484, 14.2, cool_star
